등급,관계,소상공인_대분류코드,소상공인_대분류명,소상공인_중분류코드,소상공인_중분류명,소상공인_중분류명_2023파일,소상공인_소분류수,서울_업종코드,서울_업종명,서울_업종명_출처,서울_묶음크기,비고
○,묶음대응(1:N),G2,소매,G209,섬유·의복·신발 소매,"섬유, 의복, 신발 및 가죽제품 소매업",11,CS300012,한복점,미확인(팀파일),6,침구·잡화·가발은 서울에 없음
○,묶음대응(1:N),G2,소매,G209,섬유·의복·신발 소매,"섬유, 의복, 신발 및 가죽제품 소매업",11,CS300013,유아의류,미확인(팀파일),6,침구·잡화·가발은 서울에 없음
○,묶음대응(1:N),G2,소매,G209,섬유·의복·신발 소매,"섬유, 의복, 신발 및 가죽제품 소매업",11,CS300014,신발,서울API 확인,6,침구·잡화·가발은 서울에 없음
○,묶음대응(1:N),G2,소매,G209,섬유·의복·신발 소매,"섬유, 의복, 신발 및 가죽제품 소매업",11,CS300015,가방,서울API 확인,6,침구·잡화·가발은 서울에 없음
○,묶음대응(1:N),G2,소매,G209,섬유·의복·신발 소매,"섬유, 의복, 신발 및 가죽제품 소매업",11,CS300027,섬유제품,서울API 확인,6,침구·잡화·가발은 서울에 없음
○,묶음대응(1:N),R1,예술·스포츠,R104,유원지·오락,유원지 및 기타 오락관련 서비스업,15,CS200019,PC방,서울API 확인,6,최대 1:6
○,묶음대응(1:N),R1,예술·스포츠,R104,유원지·오락,유원지 및 기타 오락관련 서비스업,15,CS200020,전자게임장,미확인(팀파일),6,최대 1:6
○,묶음대응(1:N),R1,예술·스포츠,R104,유원지·오락,유원지 및 기타 오락관련 서비스업,15,CS200021,기타오락장,서울API 확인,6,최대 1:6
○,묶음대응(1:N),R1,예술·스포츠,R104,유원지·오락,유원지 및 기타 오락관련 서비스업,15,CS200022,복권방,서울API 확인,6,최대 1:6
○,묶음대응(1:N),R1,예술·스포츠,R104,유원지·오락,유원지 및 기타 오락관련 서비스업,15,CS200037,노래방,서울API 확인,6,최대 1:6
○,묶음대응(1:N),R1,예술·스포츠,R104,유원지·오락,유원지 및 기타 오락관련 서비스업,15,CS200039,DVD방,미확인(팀파일),6,최대 1:6
○,묶음대응(1:N),G2,소매,G205,식료품 소매,식료품 소매업,9,CS300006,미곡판매,서울API 확인,5,사료·건강보조식품 빠짐
○,묶음대응(1:N),G2,소매,G205,식료품 소매,식료품 소매업,9,CS300007,육류판매,서울API 확인,5,사료·건강보조식품 빠짐
○,묶음대응(1:N),G2,소매,G205,식료품 소매,식료품 소매업,9,CS300008,수산물판매,서울API 확인,5,사료·건강보조식품 빠짐
○,묶음대응(1:N),G2,소매,G205,식료품 소매,식료품 소매업,9,CS300009,청과상,서울API 확인,5,사료·건강보조식품 빠짐
○,묶음대응(1:N),G2,소매,G205,식료품 소매,식료품 소매업,9,CS300010,반찬가게,서울API 확인,5,사료·건강보조식품 빠짐
○,묶음대응(1:N),G2,소매,G213,오락용품 소매,"문화, 오락 및 여가 용품 소매업",6,CS300020,서적,서울API 확인,5,음반/비디오물 빠짐
○,묶음대응(1:N),G2,소매,G213,오락용품 소매,"문화, 오락 및 여가 용품 소매업",6,CS300021,문구,서울API 확인,5,음반/비디오물 빠짐
○,묶음대응(1:N),G2,소매,G213,오락용품 소매,"문화, 오락 및 여가 용품 소매업",6,CS300024,운동/경기용품,미확인(팀파일),5,음반/비디오물 빠짐
