indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,stdrDt
H1,운수·창고,H106,해상 운송,2023-02-28
I2,음식,I207,구내식당·뷔페,2023-02-28
I2,음식,I210,기타 간이,2023-02-28
I2,음식,I206,기타 외국,2023-02-28
I2,음식,I205,동남아시아,2023-02-28
I2,음식,I212,비알코올 ,2023-02-28
I2,음식,I204,서양식,2023-02-28
I2,음식,I209,이동 음식,2023-02-28
I2,음식,I203,일식,2023-02-28
I2,음식,I211,주점,2023-02-28
I2,음식,I202,중식,2023-02-28
I2,음식,I208,출장 음식,2023-02-28
I2,음식,I201,한식,2023-02-28
T1,자가 생산활동,T101,가구내고용,2023-02-28
T1,자가 생산활동,T102,자가 소비 생산,2023-02-28
T1,자가 생산활동,T103,자가 소비 서비스,2023-02-28
D1,전기·가스·증기 공급,D103,냉온수·공기조절,2023-02-28
D1,전기·가스·증기 공급,D102,연료가스·배관,2023-02-28
D1,전기·가스·증기 공급,D101,전기,2023-02-28
J1,정보통신,J109,기타 정보,2023-02-28
J1,정보통신,J105,방송,2023-02-28
J1,정보통신,J102,소프트웨어,2023-02-28
J1,정보통신,J103,영상·기록물 제작,2023-02-28
J1,정보통신,J104,오디오·출판,2023-02-28
J1,정보통신,J106,우편·통신,2023-02-28
J1,정보통신,J108,자료 처리,2023-02-28
J1,정보통신,J101,출판,2023-02-28
J1,정보통신,J107,프로그래밍,2023-02-28
C1,제조업,C148,1차비철금속,2023-02-28
C1,제조업,C147,1차철강,2023-02-28
C1,제조업,C179,가구,2023-02-28
C1,제조업,C167,가정용기기,2023-02-28
C1,제조업,C121,가죽·가방,2023-02-28
C1,제조업,C141,고무제품,2023-02-28
C1,제조업,C106,곡물·전분,2023-02-28
C1,제조업,C127,골판지·종이상자,2023-02-28
C1,제조업,C103,과실·채소,2023-02-28
C1,제조업,C158,광학매체,2023-02-28
C1,제조업,C150,구조용 금속 등,2023-02-28
C1,제조업,C180,귀금속,2023-02-28
C1,제조업,C149,금속주조,2023-02-28
C1,제조업,C130,기록매체 복제,2023-02-28
C1,제조업,C138,기초의약,2023-02-28
C1,제조업,C133,기초화학,2023-02-28
C1,제조업,C152,기타 금속 가공,2023-02-28
C1,제조업,C146,기타 비금속광물,2023-02-28
C1,제조업,C116,기타 섬유,2023-02-28
C1,제조업,C107,기타 식품,2023-02-28
C1,제조업,C178,기타 운송장비,2023-02-28
C1,제조업,C168,기타 전기장비,2023-02-28
C1,제조업,C184,기타 제품,2023-02-28
C1,제조업,C128,기타 종이,2023-02-28
C1,제조업,C136,기타 화학,2023-02-28
C1,제조업,C124,나무제품,2023-02-28
C1,제조업,C105,낙농 빙과,2023-02-28
C1,제조업,C111,담배,2023-02-28
C1,제조업,C108,동물 사료,2023-02-28
C1,제조업,C104,동식물 유지,2023-02-28
C1,제조업,C118,모피,2023-02-28
C1,제조업,C123,목재가공,2023-02-28
C1,제조업,C151,무기·총포,2023-02-28
C1,제조업,C153,반도체,2023-02-28
C1,제조업,C112,방적·가공,2023-02-28
C1,제조업,C117,봉제의복,2023-02-28
C1,제조업,C135,비료·농약,2023-02-28
C1,제조업,C110,비알코올 음료,2023-02-28
C1,제조업,C161,사진·광학기기,2023-02-28
C1,제조업,C185,산업기계 수리,2023-02-28
C1,제조업,C132,석유정제,2023-02-28
C1,제조업,C175,선박·보트,2023-02-28
C1,제조업,C115,섬유 염색·마무리,2023-02-28
C1,제조업,C102,수산,2023-02-28
C1,제조업,C162,시계·부품,2023-02-28
C1,제조업,C145,시멘트·석회,2023-02-28
C1,제조업,C122,신발·부분품,2023-02-28
C1,제조업,C181,악기,2023-02-28
C1,제조업,C109,알코올 음료,2023-02-28
C1,제조업,C157,영상·음향 기기,2023-02-28
C1,제조업,C144,요업제품,2023-02-28
C1,제조업,C182,운동 용구,2023-02-28
C1,제조업,C143,유리제품,2023-02-28
C1,제조업,C101,육류,2023-02-28
C1,제조업,C159,의료용 기기,2023-02-28
C1,제조업,C140,의료용품,2023-02-28
C1,제조업,C120,의복부속품,2023-02-28
C1,제조업,C139,의약품,2023-02-28
C1,제조업,C129,인쇄 관련,2023-02-28
C1,제조업,C183,인형·장난감·오락,2023-02-28
C1,제조업,C169,일반목적기계,2023-02-28
C1,제조업,C164,일차전지,2023-02-28
C1,제조업,C174,자동차 구부품,2023-02-28
C1,제조업,C173,자동차 신부품,2023-02-28
C1,제조업,C171,자동차·엔진,2023-02-28
C1,제조업,C172,자동차차체,2023-02-28
C1,제조업,C166,전구·조명,2023-02-28
C1,제조업,C163,전동기·발전기 관련,2023-02-28
C1,제조업,C154,전자부품,2023-02-28
C1,제조업,C165,절연선,2023-02-28
C1,제조업,C160,정밀기기,2023-02-28
C1,제조업,C113,직물 직조,2023-02-28
C1,제조업,C176,철도장비,2023-02-28
C1,제조업,C155,컴퓨터 등,2023-02-28
C1,제조업,C125,코르크·조물,2023-02-28
C1,제조업,C131,코크스·연탄,2023-02-28
C1,제조업,C156,통신·방송 장비,2023-02-28
C1,제조업,C170,특수목적기계,2023-02-28
C1,제조업,C126,펄프·종이,2023-02-28
C1,제조업,C114,편조 원단,2023-02-28
C1,제조업,C119,편조의복,2023-02-28
C1,제조업,C142,플라스틱제품,2023-02-28
C1,제조업,C134,합성고무,2023-02-28
C1,제조업,C177,항공기·우주선,2023-02-28
C1,제조업,C137,화학섬유,2023-02-28
S1,협회·단체,S107,기타 협회,2023-02-28
S1,협회·단체,S103,노동 조합,2023-02-28
S1,협회·단체,S101,산업 단체,2023-02-28
S1,협회·단체,S106,시민운동 ,2023-02-28
S1,협회·단체,S102,전문가 단체,2023-02-28
S1,협회·단체,S105,정치 단체,2023-02-28
S1,협회·단체,S104,종교 단체,2023-02-28
