middle_code,middle_name,major_code,major_name,has_seoul,note
N111,산업용 기계 및 장비 대여업,N1,"사업시설 관리, 사업 지원 및 임대 서비스업",N,서울시 100대에 없음
P105,일반 교육기관,P1,교육 서비스업,Y,
P106,기타 교육기관,P1,교육 서비스업,Y,
P107,교육 지원 서비스업,P1,교육 서비스업,N,서울시 100대에 없음
Q101,병원,Q1,보건의료업,N,서울시 100대에 없음
Q102,의원,Q1,보건의료업,Y,
Q104,기타 보건업,Q1,보건의료업,N,서울시 100대에 없음
R102,"도서관, 사적지 및 유사 여가관련 서비스업",R1,"예술, 스포츠 및 여가관련 서비스업",Y,
R103,스포츠 서비스업,R1,"예술, 스포츠 및 여가관련 서비스업",Y,
R104,유원지 및 기타 오락관련 서비스업,R1,"예술, 스포츠 및 여가관련 서비스업",Y,
S201,컴퓨터 및 주변 기기 수리업,S2,수리 및 개인 서비스업,N,서울시 100대에 없음
S202,통신장비 수리업,S2,수리 및 개인 서비스업,Y,
S203,자동차 수리 및 세차업,S2,수리 및 개인 서비스업,Y,
S204,모터사이클 수리업,S2,수리 및 개인 서비스업,Y,
S205,가전제품 수리업,S2,수리 및 개인 서비스업,Y,
S206,기타 개인 및 가정용품 수리업,S2,수리 및 개인 서비스업,N,서울시 100대에 없음
S207,이용 및 미용업,S2,수리 및 개인 서비스업,Y,
S208,"욕탕, 마사지 및 기타 신체 관리 서비스업",S2,수리 및 개인 서비스업,N,서울시 100대에 없음
S209,세탁업,S2,수리 및 개인 서비스업,Y,
S210,장례식장 및 관련 서비스업,S2,수리 및 개인 서비스업,N,서울시 100대에 없음
S211,기타 개인서비스,S2,수리 및 개인 서비스업,N,서울시 100대에 없음
