seoul_code,seoul_name,middle_code,match_method,evidence_small,note
CS300025,자전거 및 기타운송장비,G213,모델,자전거 소매업 / 모터사이클 및 부품 소매업,
CS300026,완구,G213,모델,장난감 소매업,
CS300027,섬유제품,G209,정확,실/섬유제품 소매업,
CS300028,화초,G219,모델,꽃집,
CS300029,애완동물,G220,정확,애완동물/애완용품 소매업,
CS300030,중고가구,G222,모델,중고 상품 소매업 / 가구 소매업,
CS300031,가구,G211,정확,가구 소매업,
CS300032,가전제품,G208,정확,가전제품 소매업,
CS300033,철물점,G210,정확,철물/공구 소매업,
CS300034,악기,G212,정확,악기 소매업,
CS300035,인테리어,M112,모델,인테리어 디자인업 / 벽지/장판/마루 소매업 / 철물/공구 소매업,
CS300036,조명용품,G212,모델,전기용품/조명장치 소매업,
CS300037,중고차판매,G222,모델,중고 상품 소매업,
CS300038,자동차부품,G202,정확,자동차 부품 소매업,
CS300039,모터사이클및부품,G203,정확,모터사이클 및 부품 소매업,
CS300040,재생용품 판매점,G222,모델,중고 상품 소매업,
CS300041,예술품,G218,정확,예술품 소매업,
CS300042,주유소,G214,정확,주유소,
