STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,SIMILR_INDUTY_STOR_CO,STOR_CO,FRC_STOR_CO,OPBIZ_RT,OPBIZ_STOR_CO,CLSBIZ_RT,CLSBIZ_STOR_CO
20262,U,관광특구,3001491,이태원 관광특구,CS300041,예술품,19.0,19.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001491,이태원 관광특구,CS300043,전자상거래업,30.0,30.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100001,한식음식점,664.0,581.0,83.0,2.0,10.0,2.0,14.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100002,중식음식점,80.0,69.0,11.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100003,일식음식점,81.0,64.0,17.0,1.0,1.0,1.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100004,양식음식점,112.0,103.0,9.0,3.0,3.0,1.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100005,제과점,76.0,61.0,15.0,1.0,1.0,1.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100006,패스트푸드점,42.0,23.0,19.0,2.0,1.0,2.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100007,치킨전문점,31.0,10.0,21.0,3.0,1.0,3.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100008,분식전문점,185.0,164.0,21.0,1.0,1.0,2.0,3.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100009,호프-간이주점,85.0,76.0,9.0,2.0,2.0,1.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100010,커피-음료,328.0,229.0,99.0,2.0,7.0,2.0,6.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200001,일반교습학원,14.0,13.0,1.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200002,외국어학원,12.0,12.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200003,예술학원,6.0,6.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200004,컴퓨터학원,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200005,스포츠 강습,18.0,16.0,2.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200006,일반의원,139.0,139.0,0.0,3.0,4.0,1.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200007,치과의원,47.0,47.0,0.0,2.0,1.0,2.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200008,한의원,24.0,24.0,0.0,4.0,1.0,4.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200010,변호사사무소,41.0,41.0,0.0,0.0,0.0,2.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200011,변리사사무소,7.0,7.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200012,법무사사무소,42.0,42.0,0.0,0.0,0.0,2.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200013,기타법무서비스,42.0,42.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200014,회계사사무소,7.0,7.0,0.0,0.0,0.0,0.0,0.0
