system,code,name,parent_code,parent_name
소상공인 중분류,S206,기타 개인 및 가정용품 수리업,S2,수리 및 개인 서비스업
소상공인 중분류,S207,이용 및 미용업,S2,수리 및 개인 서비스업
소상공인 중분류,S208,"욕탕, 마사지 및 기타 신체 관리 서비스업",S2,수리 및 개인 서비스업
소상공인 중분류,S209,세탁업,S2,수리 및 개인 서비스업
소상공인 중분류,S210,장례식장 및 관련 서비스업,S2,수리 및 개인 서비스업
소상공인 중분류,S211,기타 개인서비스,S2,수리 및 개인 서비스업
서울시 생활밀접,CS100001,한식음식점,,
서울시 생활밀접,CS100002,중식음식점,,
서울시 생활밀접,CS100003,일식음식점,,
서울시 생활밀접,CS100004,양식음식점,,
서울시 생활밀접,CS100005,제과점,,
서울시 생활밀접,CS100006,패스트푸드점,,
서울시 생활밀접,CS100007,치킨전문점,,
서울시 생활밀접,CS100008,분식전문점,,
서울시 생활밀접,CS100009,호프-간이주점,,
서울시 생활밀접,CS100010,커피-음료,,
서울시 생활밀접,CS200001,일반교습학원,,
서울시 생활밀접,CS200002,외국어학원,,
서울시 생활밀접,CS200003,예술학원,,
서울시 생활밀접,CS200004,컴퓨터학원,,
서울시 생활밀접,CS200005,스포츠 강습,,
서울시 생활밀접,CS200006,일반의원,,
서울시 생활밀접,CS200007,치과의원,,
서울시 생활밀접,CS200008,한의원,,
서울시 생활밀접,CS200009,동물병원,,
서울시 생활밀접,CS200010,변호사사무소,,
서울시 생활밀접,CS200011,변리사사무소,,
서울시 생활밀접,CS200012,법무사사무소,,
서울시 생활밀접,CS200013,기타법무서비스,,
서울시 생활밀접,CS200014,회계사사무소,,
서울시 생활밀접,CS200015,세무사사무소,,
서울시 생활밀접,CS200016,당구장,,
서울시 생활밀접,CS200017,골프연습장,,
서울시 생활밀접,CS200018,볼링장,,
서울시 생활밀접,CS200019,PC방,,
서울시 생활밀접,CS200020,전자게임장,,
서울시 생활밀접,CS200021,기타오락장,,
서울시 생활밀접,CS200022,복권방,,
서울시 생활밀접,CS200023,통신기기수리,,
서울시 생활밀접,CS200024,스포츠클럽,,
서울시 생활밀접,CS200025,자동차수리,,
서울시 생활밀접,CS200026,자동차미용,,
서울시 생활밀접,CS200027,모터사이클수리,,
서울시 생활밀접,CS200028,미용실,,
서울시 생활밀접,CS200029,네일숍,,
서울시 생활밀접,CS200030,피부관리실,,
서울시 생활밀접,CS200031,세탁소,,
서울시 생활밀접,CS200032,가전제품수리,,
서울시 생활밀접,CS200033,부동산중개업,,
서울시 생활밀접,CS200034,여관,,
서울시 생활밀접,CS200035,게스트하우스,,
서울시 생활밀접,CS200036,고시원,,
서울시 생활밀접,CS200037,노래방,,
서울시 생활밀접,CS200038,독서실,,
서울시 생활밀접,CS200039,DVD방,,
서울시 생활밀접,CS200040,녹음실,,
서울시 생활밀접,CS200041,사진관,,
서울시 생활밀접,CS200042,통번역서비스,,
서울시 생활밀접,CS200043,건축물청소,,
서울시 생활밀접,CS200044,여행사,,
서울시 생활밀접,CS200045,비디오/서적임대,,
서울시 생활밀접,CS200046,의류임대,,
서울시 생활밀접,CS200047,가정용품임대,,
서울시 생활밀접,CS300001,슈퍼마켓,,
서울시 생활밀접,CS300002,편의점,,
서울시 생활밀접,CS300003,컴퓨터및주변장치판매,,
서울시 생활밀접,CS300004,핸드폰,,
서울시 생활밀접,CS300005,주류도매,,
서울시 생활밀접,CS300006,미곡판매,,
서울시 생활밀접,CS300007,육류판매,,
서울시 생활밀접,CS300008,수산물판매,,
서울시 생활밀접,CS300009,청과상,,
서울시 생활밀접,CS300010,반찬가게,,
서울시 생활밀접,CS300011,일반의류,,
서울시 생활밀접,CS300012,한복점,,
서울시 생활밀접,CS300013,유아의류,,
서울시 생활밀접,CS300014,신발,,
서울시 생활밀접,CS300015,가방,,
서울시 생활밀접,CS300016,안경,,
서울시 생활밀접,CS300017,시계및귀금속,,
서울시 생활밀접,CS300018,의약품,,
서울시 생활밀접,CS300019,의료기기,,
서울시 생활밀접,CS300020,서적,,
서울시 생활밀접,CS300021,문구,,
서울시 생활밀접,CS300022,화장품,,
서울시 생활밀접,CS300023,미용재료,,
서울시 생활밀접,CS300024,운동/경기용품,,
서울시 생활밀접,CS300025,자전거 및 기타운송장비,,
서울시 생활밀접,CS300026,완구,,
서울시 생활밀접,CS300027,섬유제품,,
서울시 생활밀접,CS300028,화초,,
서울시 생활밀접,CS300029,애완동물,,
서울시 생활밀접,CS300030,중고가구,,
서울시 생활밀접,CS300031,가구,,
서울시 생활밀접,CS300032,가전제품,,
서울시 생활밀접,CS300033,철물점,,
서울시 생활밀접,CS300034,악기,,
서울시 생활밀접,CS300035,인테리어,,
서울시 생활밀접,CS300036,조명용품,,
서울시 생활밀접,CS300037,중고차판매,,
서울시 생활밀접,CS300038,자동차부품,,
서울시 생활밀접,CS300039,모터사이클및부품,,
서울시 생활밀접,CS300040,재생용품 판매점,,
서울시 생활밀접,CS300041,예술품,,
서울시 생활밀접,CS300042,주유소,,
서울시 생활밀접,CS300043,전자상거래업,,
